Shipment Date,CountryName,Product,BDS$_Value,,,,,,,
15-May-13,Canada,SPINACH,$144.00,,,,,,,
16-May-13,United States,TORTUGA RUM CAKES,"$56,704.20",,,,,,,
17-May-13,United States,RUM,"$60,484.66",,,,,,,
17-May-13,United States,RUM,"$265,731.04",,,,,,,
17-May-13,United States,USED VEGETABLE OIL,"$1,200.00",,,,,,,
17-May-13,United States,RUM,"$59,409.70",,,,,,,
17-May-13,United States,RUM,"$696,216.23",,,,,,,
17-May-13,United States,RUM,"$58,819.00",,,,,,,
17-May-13,Canada,RUM,"$123,546.36",,,,,,,
17-May-13,Canada,RUM,"$241,531.06",,,,,,,
17-May-13,Canada,PEPPER,"$2,450.00",,,,,,,
21-May-13,United States,SWEETENED BISCUITS,"$40,561.92",,,,,,,
21-May-13,United States,RESISTORS,"$209,226.96",,,,,,,
21-May-13,Canada,CUT FLOWERS,$600.00,,,,,,,
21-May-13,Canada,CUT FLOWERS,$550.00,,,,,,,
22-May-13,United States,CLAYTONS KICK ENERGY,"$29,189.00",,,,,,,
22-May-13,United States,FRUTEE,"$23,000.00",,,,,,,
22-May-13,United States,SAILS,"$1,632.00",,,,,,,
22-May-13,United States,SAILS,"$3,559.42",,,,,,,
22-May-13,United States,SAILS,"$1,787.20",,,,,,,
22-May-13,United States,SAILS,"$3,540.80",,,,,,,
22-May-13,United States,SAILS,"$3,138.00",,,,,,,
22-May-13,United States,RUM,"$118,068.06",,,,,,,
22-May-13,United States,RUM,"$142,782.30",,,,,,,
22-May-13,United States,SAILS,"$2,384.00",,,,,,,
27-May-13,United States,RUM,"$59,645.62",,,,,,,
27-May-13,Canada,CUT FLOWERS,$620.00,,,,,,,
27-May-13,Canada,CUT FLOWERS,$550.00,,,,,,,
28-May-13,United States,SAILS,"$12,756.00",,,,,,,
28-May-13,United States,SAILS,"$1,137.50",,,,,,,
28-May-13,United States,SAILS,"$11,578.28",,,,,,,
28-May-13,United States,SAILS,"$1,050.00",,,,,,,
28-May-13,United States,"CREAM, LOTIONS, SALVE",$500.00,,,,,,,
28-May-13,United States,RUM,"$438,998.12",,,,,,,
28-May-13,United States,RUM,"$136,325.06",,,,,,,
28-May-13,United States,RUM,"$118,068.06",,,,,,,
28-May-13,Canada,RUM,"$187,664.96",,,,,,,
28-May-13,Canada,SAILS,"$4,720.00",,,,,,,
28-May-13,Canada,RUM,"$197,476.80",,,,,,,
28-May-13,Canada,FRESH  PRODUCE ,$450.00,,,,,,,
03-Jun-13,United States,RUM,"$692,975.72",,,,,,,
03-Jun-13,Canada,CUT FLOWERS,$600.00,,,,,,,
03-Jun-13,Canada,CUT FLOWERS,$540.00,,,,,,,
04-Jun-13,United States,SAILS,"$1,491.36",,,,,,,
04-Jun-13,United States,SAILS,"$16,095.76",,,,,,,
04-Jun-13,United States,RESISTORS,"$628,570.12",,,,,,,
04-Jun-13,United States,RUM,"$198,756.06",,,,,,,
04-Jun-13,Canada,SAILS,"$5,015.00",,,,,,,
05-Jun-13,United States,RUM,"$59,774.66",,,,,,,
05-Jun-13,United States,SWEETENED BISCUITS,"$37,923.20",,,,,,,
05-Jun-13,United States,RUM,"$60,167.06",,,,,,,
05-Jun-13,United States,RUM,"$58,955.26",,,,,,,
06-Jun-13,United States,RUM,"$66,623.04",,,,,,,
06-Jun-13,United States,TORTUGA RUM CAKES,"$53,872.00",,,,,,,
07-Jun-13,United States,RUM,"$439,659.28",,,,,,,
07-Jun-13,Canada,RUM,"$107,248.48",,,,,,,
07-Jun-13,Canada,SWEETENED & UNSWEETENED BISCUITS,"$35,532.00",,,,,,,
07-Jun-13,Canada,RUM,"$124,388.00",,,,,,,
07-Jun-13,Canada,RUM,"$2,458.00",,,,,,,
11-Jun-13,United States,SAILS,"$2,464.00",,,,,,,
11-Jun-13,United States,SAILS,"$1,173.00",,,,,,,
